period,value
2005-09-02,19213
2005-09-02,68421
2005-09-02,14142
2005-09-09,14853
2005-09-09,14746
2005-09-09,68582
2005-09-09,18852
2005-09-16,20090
2005-09-16,69405
2005-09-16,14666
2005-09-16,14009
2005-09-23,70556
2005-09-23,14970
2005-09-23,19629
2005-09-23,15354
2005-09-30,69945
2005-09-30,19377
2005-09-30,14239
2005-09-30,15201
2005-10-07,67859
2005-10-07,19421
2005-10-07,13531
2005-10-07,14378
2005-10-14,20282
2005-10-14,13186
2005-10-14,67344
2005-10-14,13363
2005-10-21,20877
2005-10-21,13203
2005-10-21,67551
2005-10-21,12998
2005-10-28,20199
2005-10-28,13033
2005-10-28,12913
2005-10-28,66462
2005-11-04,13902
2005-11-04,70019
2005-11-04,14091
2005-11-04,20060
2005-11-11,14466
2005-11-11,13598
2005-11-11,19362
2005-11-11,68043
2005-11-18,13225
2005-11-18,18920
2005-11-18,65956
2005-11-18,13133
2005-11-25,17684
2005-11-25,12957
2005-11-25,65084
2005-11-25,13822
2005-12-02,19068
2005-12-02,66960
2005-12-02,11791
2005-12-02,13998
2005-12-09,13894
2005-12-09,11711
2005-12-09,68160
2005-12-09,20460
2005-12-16,14039
2005-12-16,12384
2005-12-16,68814
2005-12-16,19779
2005-12-23,12049
2005-12-23,19835
2005-12-23,68748
2005-12-23,14194
2005-12-30,14297
2005-12-30,12683
2005-12-30,19817
2005-12-30,70287
2006-01-06,15000
2006-01-06,12600
2006-01-06,21084
2006-01-06,73227
2006-01-13,12709
2006-01-13,74558
2006-01-13,20892
2006-01-13,15685
2006-01-20,21603
2006-01-20,13953
2006-01-20,14745
2006-01-20,75982
2006-01-27,21851
2006-01-27,14249
2006-01-27,15751
2006-01-27,78147
2006-02-03,16619
2006-02-03,14329
2006-02-03,80301
2006-02-03,22388
2006-02-10,23399
2006-02-10,82136
2006-02-10,15249
2006-02-10,16246
2006-02-17,83297
2006-02-17,23894
2006-02-17,16404
2006-02-17,16039
2006-02-24,16967
2006-02-24,24011
2006-02-24,16496
2006-02-24,84289
2006-03-03,16111
2006-03-03,16517
2006-03-03,25461
2006-03-03,84903
2006-03-10,15931
2006-03-10,16974
2006-03-10,25306
2006-03-10,84162
2006-03-17,25300
2006-03-17,16670
2006-03-17,84628
2006-03-17,16882
2006-03-24,82303
2006-03-24,17180
2006-03-24,24582
2006-03-24,16320
2006-03-31,25154
2006-03-31,82018
2006-03-31,17966
2006-03-31,16087
2006-04-07,26779
2006-04-07,86166
2006-04-07,19584
2006-04-07,17033
2006-04-14,19818
2006-04-14,16925
2006-04-14,28276
2006-04-14,86188
2006-04-21,17556
2006-04-21,85178
2006-04-21,19356
2006-04-21,27521
2006-04-28,88786
2006-04-28,22667
2006-04-28,17185
2006-04-28,28109
2006-05-05,16763
2006-05-05,23721
2006-05-05,90760
2006-05-05,29556
2006-05-12,16567
2006-05-12,91549
2006-05-12,29797
2006-05-12,24403
2006-05-19,27241
2006-05-19,26819
2006-05-19,15567
2006-05-19,90815
2006-05-26,89642
2006-05-26,25712
2006-05-26,15186
2006-05-26,27821
2006-06-02,89750
2006-06-02,26925
2006-06-02,25488
2006-06-02,15472
2006-06-09,26924
2006-06-09,91904
2006-06-09,26782
2006-06-09,15736
2006-06-16,91138
2006-06-16,27037
2006-06-16,25814
2006-06-16,15378
2006-06-23,15425
2006-06-23,26386
2006-06-23,25647
2006-06-23,90116
2006-06-30,26023
2006-06-30,14801
2006-06-30,90995
2006-06-30,27166
2006-07-07,92039
2006-07-07,26702
2006-07-07,26076
2006-07-07,14837
2006-07-14,93337
2006-07-14,15326
2006-07-14,26833
2006-07-14,27282
2006-07-21,27351
2006-07-21,14897
2006-07-21,91392
2006-07-21,25402
2006-07-28,15484
2006-07-28,27407
2006-07-28,92583
2006-07-28,26452
2006-08-04,28049
2006-08-04,26185
2006-08-04,14768
2006-08-04,91086
2006-08-11,28426
2006-08-11,14311
2006-08-11,89238
2006-08-11,24555
2006-08-18,27016
2006-08-18,90083
2006-08-18,25596
2006-08-18,14952
2006-08-25,91305
2006-08-25,16172
2006-08-25,27615
2006-08-25,25805
2006-09-01,16505
2006-09-01,92483
2006-09-01,25806
2006-09-01,27291
2006-09-08,16104
2006-09-08,93491
2006-09-08,27006
2006-09-08,28572
2006-09-15,16864
2006-09-15,93919
2006-09-15,28965
2006-09-15,27042
2006-09-22,16971
2006-09-22,28274
2006-09-22,28986
2006-09-22,95839
2006-09-29,27370
2006-09-29,17443
2006-09-29,29367
2006-09-29,96525
2006-10-06,96664
2006-10-06,27953
2006-10-06,28067
2006-10-06,17911
2006-10-13,17263
2006-10-13,26166
2006-10-13,92396
2006-10-13,26794
2006-10-20,16382
2006-10-20,26065
2006-10-20,92960
2006-10-20,27287
2006-10-27,92493
2006-10-27,16206
2006-10-27,25274
2006-10-27,28249
2006-11-03,17053
2006-11-03,92855
2006-11-03,25672
2006-11-03,27579
2006-11-10,15713
2006-11-10,89704
2006-11-10,27204
2006-11-10,25373
2006-11-17,26666
2006-11-17,91227
2006-11-17,27280
2006-11-17,15825
2006-11-24,26337
2006-11-24,16040
2006-11-24,27051
2006-11-24,91463
2006-12-01,90199
2006-12-01,24289
2006-12-01,27235
2006-12-01,16726
2006-12-08,15951
2006-12-08,89089
2006-12-08,24114
2006-12-08,26736
2006-12-15,16623
2006-12-15,22961
2006-12-15,27328
2006-12-15,89852
2006-12-22,23819
2006-12-22,26746
2006-12-22,89763
2006-12-22,16325
2006-12-29,93356
2006-12-29,25565
2006-12-29,15894
2006-12-29,28118
2007-01-05,28661
2007-01-05,95014
2007-01-05,25392
2007-01-05,16332
2007-01-12,27367
2007-01-12,16414
2007-01-12,96024
2007-01-12,26503
2007-01-19,98125
2007-01-19,28807
2007-01-19,27209
2007-01-19,15920
2007-01-26,28992
2007-01-26,29504
2007-01-26,100550
2007-01-26,15992
2007-02-02,16754
2007-02-02,102335
2007-02-02,29936
2007-02-02,29867
2007-02-09,16298
2007-02-09,28437
2007-02-09,100782
2007-02-09,29898
2007-02-16,29396
2007-02-16,27965
2007-02-16,15976
2007-02-16,98962
2007-02-23,98219
2007-02-23,28493
2007-02-23,16305
2007-02-23,28542
2007-03-02,28578
2007-03-02,16941
2007-03-02,28186
2007-03-02,98072
2007-03-09,97456
2007-03-09,28759
2007-03-09,28073
2007-03-09,17039
2007-03-16,16414
2007-03-16,94829
2007-03-16,27734
2007-03-16,27260
2007-03-23,94897
2007-03-23,28545
2007-03-23,16543
2007-03-23,27935
2007-03-30,92442
2007-03-30,28762
2007-03-30,25936
2007-03-30,16189
2007-04-06,27333
2007-04-06,28370
2007-04-06,92250
2007-04-06,16253
2007-04-13,27726
2007-04-13,91204
2007-04-13,26089
2007-04-13,15765
2007-04-20,25091
2007-04-20,15948
2007-04-20,89538
2007-04-20,27641
2007-04-27,25218
2007-04-27,28104
2007-04-27,15820
2007-04-27,89354
2007-05-04,16163
2007-05-04,24953
2007-05-04,89000
2007-05-04,27081
2007-05-11,25455
2007-05-11,15913
2007-05-11,26533
2007-05-11,89772
2007-05-18,15228
2007-05-18,27011
2007-05-18,25423
2007-05-18,89587
2007-05-25,26634
2007-05-25,89362
2007-05-25,24395
2007-05-25,15894
2007-06-01,24916
2007-06-01,26784
2007-06-01,91275
2007-06-01,16439
2007-06-08,28007
2007-06-08,89569
2007-06-08,16428
2007-06-08,23028
2007-06-15,23402
2007-06-15,28154
2007-06-15,91388
2007-06-15,17056
2007-06-22,16324
2007-06-22,23531
2007-06-22,89982
2007-06-22,27392
2007-06-29,90360
2007-06-29,15494
2007-06-29,28983
2007-06-29,23861
2007-07-06,91892
2007-07-06,27545
2007-07-06,16351
2007-07-06,25131
2007-07-13,15955
2007-07-13,91590
2007-07-13,26101
2007-07-13,27216
2007-07-20,27191
2007-07-20,92521
2007-07-20,26462
2007-07-20,15659
2007-07-27,93238
2007-07-27,27046
2007-07-27,15665
2007-07-27,26335
2007-08-03,92604
2007-08-03,15101
2007-08-03,26913
2007-08-03,26087
2007-08-10,25645
2007-08-10,91964
2007-08-10,27106
2007-08-10,14964
2007-08-17,25346
2007-08-17,88163
2007-08-17,25182
2007-08-17,14450
2007-08-24,85869
2007-08-24,23298
2007-08-24,14051
2007-08-24,25094
2007-08-31,24544
2007-08-31,15314
2007-08-31,22824
2007-08-31,85143
2007-09-07,15643
2007-09-07,24446
2007-09-07,23082
2007-09-07,85676
2007-09-14,24845
2007-09-14,16452
2007-09-14,85809
2007-09-14,22378
2007-09-21,87321
2007-09-21,15725
2007-09-21,24500
2007-09-21,24958
2007-09-28,23929
2007-09-28,87516
2007-09-28,26094
2007-09-28,15386
2007-10-05,16049
2007-10-05,23129
2007-10-05,26329
2007-10-05,87575
2007-10-12,28443
2007-10-12,90360
2007-10-12,23334
2007-10-12,15984
2007-10-19,22983
2007-10-19,15567
2007-10-19,28445
2007-10-19,89119
2007-10-26,29324
2007-10-26,15021
2007-10-26,89980
2007-10-26,23166
2007-11-02,15118
2007-11-02,28094
2007-11-02,23117
2007-11-02,89772
2007-11-09,22756
2007-11-09,90647
2007-11-09,15802
2007-11-09,28161
2007-11-16,28825
2007-11-16,15495
2007-11-16,23320
2007-11-16,90674
2007-11-23,24604
2007-11-23,15584
2007-11-23,29080
2007-11-23,92324
2007-11-30,29772
2007-11-30,25236
2007-11-30,16489
2007-11-30,95231
2007-12-07,30181
2007-12-07,96154
2007-12-07,24933
2007-12-07,16475
2007-12-14,17488
2007-12-14,29919
2007-12-14,98437
2007-12-14,25293
2007-12-21,30058
2007-12-21,16787
2007-12-21,27046
2007-12-21,100162
2007-12-28,27177
2007-12-28,30271
2007-12-28,16444
2007-12-28,101315
2008-01-04,105252
2008-01-04,29172
2008-01-04,30082
2008-01-04,17587
2008-01-11,30136
2008-01-11,30036
2008-01-11,106183
2008-01-11,17277
2008-01-18,109278
2008-01-18,29936
2008-01-18,17579
2008-01-18,32089
2008-01-25,31225
2008-01-25,110662
2008-01-25,31566
2008-01-25,18260
2008-02-01,31536
2008-02-01,112804
2008-02-01,18675
2008-02-01,33115
2008-02-08,113555
2008-02-08,17839
2008-02-08,34350
2008-02-08,31653
2008-02-15,33291
2008-02-15,19410
2008-02-15,114486
2008-02-15,32848
2008-02-22,116074
2008-02-22,19166
2008-02-22,33614
2008-02-22,34851
2008-02-29,35211
2008-02-29,18496
2008-02-29,34388
2008-02-29,116493
2008-03-07,117287
2008-03-07,34361
2008-03-07,34179
2008-03-07,20610
2008-03-14,33514
2008-03-14,115317
2008-03-14,34093
2008-03-14,19775
2008-03-21,19361
2008-03-21,33720
2008-03-21,33432
2008-03-21,114582
2008-03-28,19003
2008-03-28,113610
2008-03-28,34545
2008-03-28,33688
2008-04-04,33108
2008-04-04,35199
2008-04-04,110805
2008-04-04,17670
2008-04-11,107795
2008-04-11,32355
2008-04-11,32745
2008-04-11,17558
2008-04-18,30767
2008-04-18,105173
2008-04-18,17083
2008-04-18,33897
2008-04-25,103151
2008-04-25,29729
2008-04-25,32540
2008-04-25,17727
2008-05-02,32985
2008-05-02,31740
2008-05-02,18168
2008-05-02,106476
2008-05-09,33947
2008-05-09,30834
2008-05-09,17878
2008-05-09,106687
2008-05-16,32815
2008-05-16,31223
2008-05-16,105635
2008-05-16,17954
2008-05-23,29195
2008-05-23,102316
2008-05-23,17626
2008-05-23,33093
2008-05-30,29190
2008-05-30,103474
2008-05-30,34477
2008-05-30,17459
2008-06-06,31358
2008-06-06,33257
2008-06-06,17627
2008-06-06,104528
2008-06-13,17603
2008-06-13,32097
2008-06-13,102669
2008-06-13,30627
2008-06-20,102465
2008-06-20,31476
2008-06-20,31545
2008-06-20,17018
2008-06-27,104150
2008-06-27,32079
2008-06-27,31714
2008-06-27,17141
2008-07-04,31697
2008-07-04,17951
2008-07-04,31831
2008-07-04,105084
2008-07-11,32044
2008-07-11,107046
2008-07-11,18470
2008-07-11,32536
2008-07-18,17917
2008-07-18,108836
2008-07-18,32630
2008-07-18,33735
2008-07-25,33394
2008-07-25,33338
2008-07-25,18204
2008-07-25,108044
2008-08-01,31160
2008-08-01,34602
2008-08-01,18163
2008-08-01,106616
2008-08-08,104495
2008-08-08,33833
2008-08-08,31615
2008-08-08,16910
2008-08-15,30447
2008-08-15,17172
2008-08-15,100918
2008-08-15,31898
2008-08-22,17703
2008-08-22,29812
2008-08-22,100580
2008-08-22,31733
2008-08-29,29707
2008-08-29,17523
2008-08-29,29656
2008-08-29,98636
2008-09-05,96054
2008-09-05,27681
2008-09-05,17881
2008-09-05,29403
2008-09-12,27301
2008-09-12,95359
2008-09-12,28269
2008-09-12,18493
2008-09-19,92799
2008-09-19,25999
2008-09-19,26187
2008-09-19,18274
2008-09-26,26087
2008-09-26,25617
2008-09-26,18487
2008-09-26,92852
2008-10-03,26261
2008-10-03,28282
2008-10-03,95969
2008-10-03,18256
2008-10-10,98815
2008-10-10,30804
2008-10-10,26267
2008-10-10,18622
2008-10-17,18267
2008-10-17,101016
2008-10-17,28010
2008-10-17,31397
2008-10-24,100517
2008-10-24,32125
2008-10-24,27477
2008-10-24,17928
2008-10-31,27253
2008-10-31,101088
2008-10-31,18174
2008-10-31,32264
2008-11-07,27034
2008-11-07,102892
2008-11-07,18746
2008-11-07,33412
2008-11-14,31856
2008-11-14,19157
2008-11-14,28711
2008-11-14,103764
2008-11-21,29311
2008-11-21,31775
2008-11-21,18588
2008-11-21,105270
2008-11-28,29792
2008-11-28,105529
2008-11-28,32505
2008-11-28,17711
2008-12-05,33176
2008-12-05,109174
2008-12-05,32024
2008-12-05,18002
2008-12-12,110320
2008-12-12,18244
2008-12-12,32603
2008-12-12,34057
2008-12-19,111738
2008-12-19,34853
2008-12-19,34816
2008-12-19,17795
2008-12-26,36542
2008-12-26,18070
2008-12-26,34141
2008-12-26,113468
2009-01-02,35341
2009-01-02,36629
2009-01-02,115480
2009-01-02,18405
2009-01-09,117312
2009-01-09,18953
2009-01-09,36756
2009-01-09,36742
2009-01-16,122772
2009-01-16,39469
2009-01-16,39123
2009-01-16,19018
2009-01-23,19330
2009-01-23,121376
2009-01-23,36881
2009-01-23,39694
2009-01-30,39475
2009-01-30,123354
2009-01-30,19335
2009-01-30,39796
2009-02-06,39757
2009-02-06,20144
2009-02-06,38164
2009-02-06,123107
2009-02-13,38074
2009-02-13,39557
2009-02-13,125195
2009-02-13,21379
2009-02-20,21429
2009-02-20,38208
2009-02-20,122250
2009-02-20,37325
2009-02-27,124296
2009-02-27,23170
2009-02-27,34574
2009-02-27,40409
2009-03-06,23283
2009-03-06,38915
2009-03-06,122149
2009-03-06,33879
2009-03-13,36406
2009-03-13,125714
2009-03-13,40636
2009-03-13,22749
2009-03-20,41100
2009-03-20,125867
2009-03-20,22223
2009-03-20,36626
2009-03-27,38879
2009-03-27,23093
2009-03-27,40917
2009-03-27,129557
2009-04-03,41963
2009-04-03,130118
2009-04-03,37796
2009-04-03,23610
2009-04-10,127906
2009-04-10,39173
2009-04-10,40214
2009-04-10,22768
2009-04-17,21975
2009-04-17,39530
2009-04-17,42239
2009-04-17,128991
2009-04-24,22550
2009-04-24,126734
2009-04-24,38394
2009-04-24,40695
2009-05-01,20770
2009-05-01,41314
2009-05-01,126195
2009-05-01,39643
2009-05-08,122355
2009-05-08,36819
2009-05-08,40922
2009-05-08,20588
2009-05-15,40243
2009-05-15,20651
2009-05-15,35573
2009-05-15,120361
2009-05-22,39117
2009-05-22,20757
2009-05-22,35915
2009-05-22,120128
2009-05-29,120536
2009-05-29,21590
2009-05-29,35465
2009-05-29,39714
2009-06-05,119530
2009-06-05,38456
2009-06-05,22489
2009-06-05,34270
2009-06-12,23148
2009-06-12,38667
2009-06-12,123387
2009-06-12,36776
2009-06-19,24255
2009-06-19,125444
2009-06-19,39299
2009-06-19,36605
2009-06-26,125766
2009-06-26,39315
2009-06-26,24100
2009-06-26,36670
2009-07-03,37269
2009-07-03,24445
2009-07-03,39299
2009-07-03,126700
2009-07-10,25087
2009-07-10,38231
2009-07-10,39999
2009-07-10,128868
2009-07-17,129581
2009-07-17,39165
2009-07-17,39212
2009-07-17,24945
2009-07-24,39136
2009-07-24,127432
2009-07-24,25215
2009-07-24,37978
2009-07-31,127236
2009-07-31,37515
2009-07-31,40037
2009-07-31,25608
2009-08-07,38145
2009-08-07,39166
2009-08-07,25574
2009-08-07,126440
2009-08-14,125292
2009-08-14,37128
2009-08-14,39212
2009-08-14,25036
2009-08-21,35477
2009-08-21,39433
2009-08-21,122566
2009-08-21,24763
2009-08-28,120566
2009-08-28,37776
2009-08-28,24647
2009-08-28,34977
2009-09-04,122648
2009-09-04,37965
2009-09-04,36192
2009-09-04,25643
2009-09-11,39151
2009-09-11,25302
2009-09-11,35390
2009-09-11,122891
2009-09-18,38864
2009-09-18,24972
2009-09-18,39508
2009-09-18,127198
2009-09-25,24431
2009-09-25,37221
2009-09-25,125219
2009-09-25,39288
2009-10-02,40187
2009-10-02,38055
2009-10-02,127490
2009-10-02,24698
2009-10-09,127511
2009-10-09,39262
2009-10-09,39406
2009-10-09,24463
2009-10-16,25242
2009-10-16,37551
2009-10-16,129244
2009-10-16,41012
2009-10-23,25502
2009-10-23,131042
2009-10-23,39125
2009-10-23,40752
2009-10-30,24461
2009-10-30,130265
2009-10-30,38855
2009-10-30,40059
2009-11-06,38729
2009-11-06,41014
2009-11-06,132030
2009-11-06,24394
2009-11-13,38377
2009-11-13,129911
2009-11-13,24239
2009-11-13,39810
2009-11-20,38881
2009-11-20,24518
2009-11-20,39405
2009-11-20,130319
2009-11-27,41186
2009-11-27,39645
2009-11-27,133343
2009-11-27,24461
2009-12-04,134837
2009-12-04,40809
2009-12-04,25105
2009-12-04,40618
2009-12-11,23892
2009-12-11,42226
2009-12-11,134199
2009-12-11,40347
2009-12-18,40640
2009-12-18,24191
2009-12-18,41556
2009-12-18,133583
2009-12-25,24801
2009-12-25,39636
2009-12-25,41493
2009-12-25,133455
2010-01-01,38734
2010-01-01,40777
2010-01-01,25592
2010-01-01,134643
2010-01-08,25836
2010-01-08,43028
2010-01-08,139497
2010-01-08,40802
2010-01-15,43590
2010-01-15,143273
2010-01-15,42326
2010-01-15,26503
2010-01-22,144974
2010-01-22,44069
2010-01-22,26886
2010-01-22,43281
2010-01-29,143539
2010-01-29,44681
2010-01-29,27292
2010-01-29,41264
2010-02-05,27693
2010-02-05,144740
2010-02-05,45009
2010-02-05,41785
2010-02-12,146838
2010-02-12,27877
2010-02-12,44425
2010-02-12,44124
2010-02-19,27044
2010-02-19,45641
2010-02-19,43718
2010-02-19,146990
2010-02-26,147992
2010-02-26,28830
2010-02-26,43174
2010-02-26,44795
2010-03-05,147062
2010-03-05,27989
2010-03-05,43689
2010-03-05,43300
2010-03-12,42798
2010-03-12,42763
2010-03-12,27409
2010-03-12,144628
2010-03-19,42163
2010-03-19,42869
2010-03-19,26791
2010-03-19,142786
2010-03-26,27950
2010-03-26,143940
2010-03-26,43575
2010-03-26,41839
2010-04-02,44177
2010-04-02,39853
2010-04-02,27728
2010-04-02,141812
2010-04-09,26769
2010-04-09,44062
2010-04-09,41486
2010-04-09,141529
2010-04-16,40745
2010-04-16,27144
2010-04-16,143422
2010-04-16,44403
2010-04-23,26072
2010-04-23,40730
2010-04-23,142470
2010-04-23,45042
2010-04-30,46088
2010-04-30,144864
2010-04-30,24802
2010-04-30,43453
2010-05-07,143107
2010-05-07,25289
2010-05-07,42447
2010-05-07,46317
2010-05-14,24416
2010-05-14,43996
2010-05-14,45776
2010-05-14,142337
2010-05-21,45496
2010-05-21,143060
2010-05-21,24841
2010-05-28,45176
2010-05-28,141139
2010-05-28,24120
2010-06-04,141787
2010-06-04,47299
2010-06-04,24063
2010-06-11,24445
2010-06-11,45443
2010-06-11,140952
2010-06-18,24571
2010-06-18,139828
2010-06-18,43643
2010-06-25,24946
2010-06-25,141198
2010-06-25,45329
2010-07-02,24963
2010-07-02,143168
2010-07-02,46190
2010-07-09,46224
2010-07-09,142368
2010-07-09,24434
2010-07-16,144526
2010-07-16,46768
2010-07-16,25048
2010-07-23,144665
2010-07-23,46565
2010-07-23,25181
2010-07-30,25085
2010-07-30,47296
2010-07-30,146182
2010-08-06,146628
2010-08-06,26238
2010-08-06,47033
2010-08-13,47227
2010-08-13,26103
2010-08-13,146920
2010-08-20,48583
2010-08-20,148087
2010-08-20,25817
2010-08-27,25627
2010-08-27,149206
2010-08-27,50143
2010-09-03,47823
2010-09-03,25358
2010-09-03,148406
2010-09-10,147828
2010-09-10,25753
2010-09-10,47172
2010-09-17,47673
2010-09-17,26212
2010-09-17,148790
2010-09-24,26703
2010-09-24,46491
2010-09-24,147649
2010-10-01,27646
2010-10-01,44201
2010-10-01,146610
2010-10-08,27398
2010-10-08,43381
2010-10-08,146363
2010-10-15,28173
2010-10-15,43236
2010-10-15,146694
2010-10-22,26308
2010-10-22,42499
2010-10-22,143753
2010-10-29,25609
2010-10-29,141725
2010-10-29,41234
2010-11-05,40606
2010-11-05,140889
2010-11-05,25120
2010-11-12,40233
2010-11-12,24434
2010-11-12,139234
2010-11-19,40714
2010-11-19,24558
2010-11-19,140454
2010-11-26,40953
2010-11-26,24800
2010-11-26,142077
2010-12-03,24915
2010-12-03,144410
2010-12-03,42624
2010-12-10,43520
2010-12-10,145541
2010-12-10,24942
2010-12-17,146922
2010-12-17,25200
2010-12-17,43713
2010-12-24,146088
2010-12-24,42482
2010-12-24,24017
2010-12-31,42816
2010-12-31,24778
2010-12-31,149781
2011-01-07,156110
2011-01-07,26601
2011-01-07,43366
2011-01-14,27501
2011-01-14,46017
2011-01-14,160850
2011-01-21,47033
2011-01-21,27614
2011-01-21,162971
2011-01-28,49501
2011-01-28,167685
2011-01-28,28510
2011-02-04,52556
2011-02-04,168838
2011-02-04,28369
2011-02-11,167332
2011-02-11,28714
2011-02-11,52301
2011-02-18,165029
2011-02-18,52293
2011-02-18,28325
2011-02-25,161798
2011-02-25,51228
2011-02-25,27375
2011-03-04,27766
2011-03-04,158209
2011-03-04,49320
2011-03-11,156348
2011-03-11,49162
2011-03-11,27140
2011-03-18,47584
2011-03-18,26540
2011-03-18,152733
2011-03-25,26803
2011-03-25,152353
2011-03-25,47133
2011-04-01,46251
2011-04-01,26401
2011-04-01,153537
2011-04-08,44232
2011-04-08,149031
2011-04-08,24587
2011-04-15,23442
2011-04-15,147844
2011-04-15,43583
2011-04-22,41950
2011-04-22,147546
2011-04-22,24282
2011-04-29,148031
2011-04-29,24965
2011-04-29,40511
2011-05-06,150034
2011-05-06,25954
2011-05-06,43724
2011-05-13,26440
2011-05-13,43110
2011-05-13,150617
2011-05-20,26350
2011-05-20,153179
2011-05-20,45196
2011-05-27,26164
2011-05-27,155977
2011-05-27,45076
2011-06-03,47129
2011-06-03,25532
2011-06-03,156972
2011-06-10,25105
2011-06-10,157390
2011-06-10,48511
2011-06-17,26282
2011-06-17,156239
2011-06-17,47041
2011-06-24,156761
2011-06-24,46905
2011-06-24,27296
2011-07-01,155784
2011-07-01,47393
2011-07-01,26563
2011-07-08,48025
2011-07-08,157276
2011-07-08,26834
2011-07-15,157868
2011-07-15,48097
2011-07-15,27280
2011-07-22,27920
2011-07-22,158194
2011-07-22,47248
2011-07-29,28050
2011-07-29,161619
2011-07-29,47697
2011-08-05,47453
2011-08-05,26885
2011-08-05,158970
2011-08-12,46679
2011-08-12,156512
2011-08-12,26950
2011-08-19,157056
2011-08-19,46895
2011-08-19,26982
2011-08-26,45930
2011-08-26,154103
2011-08-26,26222
2011-09-02,154769
2011-09-02,44808
2011-09-02,26633
2011-09-09,154770
2011-09-09,26102
2011-09-09,45299
2011-09-16,158413
2011-09-16,27020
2011-09-16,44967
2011-09-23,27437
2011-09-23,159132
2011-09-23,45942
2011-09-30,157503
2011-09-30,27380
2011-09-30,46166
2011-10-07,44761
2011-10-07,156122
2011-10-07,27788
2011-10-14,42905
2011-10-14,25951
2011-10-14,150959
2011-10-21,44348
2011-10-21,150007
2011-10-21,26064
2011-10-28,44647
2011-10-28,150971
2011-10-28,25979
2011-11-04,150657
2011-11-04,26436
2011-11-04,42459
2011-11-11,42329
2011-11-11,25450
2011-11-11,151250
2011-11-18,153024
2011-11-18,25428
2011-11-18,45175
2011-11-25,153707
2011-11-25,45386
2011-11-25,25371
2011-12-02,48425
2011-12-02,25551
2011-12-02,158123
2011-12-09,158682
2011-12-09,49182
2011-12-09,25598
2011-12-16,46776
2011-12-16,25259
2011-12-16,157788
2011-12-23,46982
2011-12-23,25675
2011-12-23,156524
2011-12-30,159776
2011-12-30,26756
2011-12-30,46416
2012-01-06,28288
2012-01-06,47447
2012-01-06,162930
2012-01-13,165188
2012-01-13,49096
2012-01-13,28507
2012-01-20,49268
2012-01-20,28263
2012-01-20,165674
2012-01-27,167766
2012-01-27,52421
2012-01-27,28470
2012-02-03,51776
2012-02-03,28999
2012-02-03,169070
2012-02-10,168787
2012-02-10,50776
2012-02-10,29388
2012-02-17,169658
2012-02-17,29515
2012-02-17,52506
2012-02-24,168768
2012-02-24,29242
2012-02-24,51377
2012-03-02,29456
2012-03-02,169507
2012-03-02,51395
2012-03-09,52206
2012-03-09,29573
2012-03-09,169451
2012-03-16,29042
2012-03-16,167638
2012-03-16,51182
2012-03-23,49762
2012-03-23,28481
2012-03-23,166051
2012-03-30,49168
2012-03-30,28690
2012-03-30,164651
2012-04-06,48681
2012-04-06,28470
2012-04-06,161248
2012-04-13,28067
2012-04-13,159374
2012-04-13,46051
2012-04-20,45697
2012-04-20,28359
2012-04-20,157432
2012-04-27,156769
2012-04-27,44987
2012-04-27,27799
2012-05-04,155256
2012-05-04,45520
2012-05-04,28208
2012-05-11,154173
2012-05-11,45653
2012-05-11,28174
2012-05-18,150985
2012-05-18,27135
2012-05-18,45778
2012-05-25,27604
2012-05-25,151037
2012-05-25,45511
2012-06-01,47648
2012-06-01,26985
2012-06-01,153663
2012-06-08,26909
2012-06-08,151451
2012-06-08,45238
2012-06-15,152071
2012-06-15,45836
2012-06-15,27198
2012-06-22,45894
2012-06-22,27376
2012-06-22,153221
2012-06-29,44273
2012-06-29,153079
2012-06-29,27214
2012-07-06,155773
2012-07-06,28043
2012-07-06,44845
2012-07-13,154649
2012-07-13,27806
2012-07-13,44265
2012-07-20,27465
2012-07-20,46056
2012-07-20,156885
2012-07-27,155262
2012-07-27,44672
2012-07-27,26719
2012-08-03,152491
2012-08-03,26663
2012-08-03,43303
2012-08-10,151904
2012-08-10,42540
2012-08-10,26087
2012-08-17,27951
2012-08-17,151506
2012-08-17,41944
2012-08-24,42256
2012-08-24,151065
2012-08-24,26973
2012-08-31,26918
2012-08-31,150280
2012-08-31,43293
2012-09-07,43132
2012-09-07,148750
2012-09-07,27400
2012-09-14,146061
2012-09-14,40092
2012-09-14,27229
2012-09-21,147016
2012-09-21,40433
2012-09-21,26843
2012-09-28,27013
2012-09-28,146222
2012-09-28,38942
2012-10-05,27071
2012-10-05,147818
2012-10-05,38689
2012-10-12,27330
2012-10-12,40331
2012-10-12,149516
2012-10-19,26510
2012-10-19,149668
2012-10-19,41065
2012-10-26,149865
2012-10-26,40849
2012-10-26,26463
2012-11-02,38200
2012-11-02,24944
2012-11-02,150846
2012-11-09,150583
2012-11-09,36974
2012-11-09,24585
2012-11-16,37964
2012-11-16,24965
2012-11-16,148973
2012-11-23,39387
2012-11-23,152684
2012-11-23,24933
2012-11-30,39658
2012-11-30,156829
2012-11-30,26207
2012-12-07,40305
2012-12-07,27354
2012-12-07,160830
2012-12-14,41071
2012-12-14,163665
2012-12-14,27992
2012-12-21,163647
2012-12-21,41638
2012-12-21,27337
2012-12-28,42930
2012-12-28,27598
2012-12-28,166496
2013-01-04,29898
2013-01-04,174449
2013-01-04,44883
2013-01-11,29428
2013-01-11,45991
