period,value
1989-03-24,38603
1989-03-31,39534
1989-04-07,39060
1989-04-14,37581
1989-04-21,37575
1989-04-28,37541
1989-05-05,37711
1989-05-12,39335
1989-05-19,37955
1989-05-26,38387
1989-06-02,38133
1989-06-09,37984
1989-06-16,38021
1989-06-23,38615
1989-06-30,37414
1989-07-07,36921
1989-07-14,37649
1989-07-21,38039
1989-07-28,39620
1989-08-04,39035
1989-08-11,38447
1989-08-18,37770
1989-08-25,39186
1989-09-01,38874
1989-09-08,38636
1989-09-15,39523
1989-09-22,37512
1989-09-29,39751
1989-10-06,41053
1989-10-13,38881
1989-10-20,38282
1989-10-27,38217
1989-11-03,37713
1989-11-10,39061
1989-11-17,37981
1989-11-24,37905
1989-12-01,37587
1989-12-08,37254
1989-12-15,37823
1989-12-22,37255
1989-12-29,36847
1990-01-05,35973
1990-01-12,36781
1990-01-19,38278
1990-01-26,40079
1990-02-02,41100
1990-02-09,42415
1990-02-16,43661
1990-02-23,46344
1990-03-02,45436
1990-03-09,44261
1990-03-16,45275
1990-03-23,44754
1990-03-30,43993
1990-04-06,42134
1990-04-13,42694
1990-04-20,41098
1990-04-27,39627
1990-05-04,39088
1990-05-11,38001
1990-05-18,38168
1990-05-25,38401
1990-06-01,40702
1990-06-08,40306
1990-06-15,40376
1990-06-22,39956
1990-06-29,39277
1990-07-06,38899
1990-07-13,39093
1990-07-20,39032
1990-07-27,39796
1990-08-03,40693
1990-08-10,40194
1990-08-17,39604
1990-08-24,39103
1990-08-31,38455
1990-09-07,38682
1990-09-14,40515
1990-09-21,41086
1990-09-28,41483
1990-10-05,41599
1990-10-12,41339
1990-10-19,40243
1990-10-26,39430
1990-11-02,40441
1990-11-09,40124
1990-11-16,39932
1990-11-23,40082
1990-11-30,40716
1990-12-07,39233
1990-12-14,40207
1990-12-21,38862
1990-12-28,39352
1991-01-04,39628
1991-01-11,38004
1991-01-18,38661
1991-01-25,38724
1991-02-01,38793
1991-02-08,40331
1991-02-15,41259
1991-02-22,42025
1991-03-01,41210
1991-03-08,40916
1991-03-15,40598
1991-03-22,39536
1991-03-29,39703
1991-04-05,38826
1991-04-12,38701
1991-04-19,37614
1991-04-26,37312
1991-05-03,37732
1991-05-10,37641
1991-05-17,38588
1991-05-24,39264
1991-05-31,38560
1991-06-07,39715
1991-06-14,40114
1991-06-21,40754
1991-06-28,40226
1991-07-05,40465
1991-07-12,39827
1991-07-19,39648
1991-07-26,39169
1991-08-02,38989
1991-08-09,39011
1991-08-16,37197
1991-08-23,38350
1991-08-30,37643
1991-09-06,39463
1991-09-13,39105
1991-09-20,39404
1991-09-27,39142
1991-10-04,38762
1991-10-11,38999
1991-10-18,37419
1991-10-25,36709
1991-11-01,37485
1991-11-08,35979
1991-11-15,35605
1991-11-22,35058
1991-11-29,35101
1991-12-06,36488
1991-12-13,38298
1991-12-20,38226
1991-12-27,37035
1992-01-03,37713
1992-01-10,37419
1992-01-17,37879
1992-01-24,37872
1992-01-31,37775
1992-02-07,38273
1992-02-14,39069
1992-02-21,39384
1992-02-28,39795
1992-03-06,38679
1992-03-13,39836
1992-03-20,38831
1992-03-27,38582
1992-04-03,39384
1992-04-10,38383
1992-04-17,38163
1992-04-24,38172
1992-05-01,36298
1992-05-08,36759
1992-05-15,36514
1992-05-22,36861
1992-05-29,37160
1992-06-05,36922
1992-06-12,37667
1992-06-19,38706
1992-06-26,39355
1992-07-03,38574
1992-07-10,37803
1992-07-17,38480
1992-07-24,38293
1992-07-31,38032
1992-08-07,38993
1992-08-14,39293
1992-08-21,37395
1992-08-28,39334
1992-09-04,37787
1992-09-11,40756
1992-09-18,41437
1992-09-25,39797
1992-10-02,39743
1992-10-09,39316
1992-10-16,38772
1992-10-23,39282
1992-10-30,39725
1992-11-06,41810
1992-11-13,40773
1992-11-20,40357
1992-11-27,40137
1992-12-04,37830
1992-12-11,38284
1992-12-18,38165
1992-12-25,39048
1993-01-01,39942
1993-01-08,40839
1993-01-15,41469
1993-01-22,41827
1993-01-29,44169
1993-02-05,42711
1993-02-12,41012
1993-02-19,42195
1993-02-26,42147
1993-03-05,40792
1993-03-12,41748
1993-03-19,41174
1993-03-26,40825
1993-04-02,40308
1993-04-09,39805
1993-04-16,40625
1993-04-23,41144
1993-04-30,40330
1993-05-07,40099
1993-05-14,39724
1993-05-21,37309
1993-05-28,38389
1993-06-04,38248
1993-06-11,37955
1993-06-18,37175
1993-06-25,37549
1993-07-02,37901
1993-07-09,38720
1993-07-16,38260
1993-07-23,37527
1993-07-30,38172
1993-08-06,35685
1993-08-13,36124
1993-08-20,36095
1993-08-27,34364
1993-09-03,35331
1993-09-10,36571
1993-09-17,37843
1993-09-24,37932
1993-10-01,36958
1993-10-08,37649
1993-10-15,36986
1993-10-22,37162
1993-10-29,37744
1993-11-05,37418
1993-11-12,37790
1993-11-19,39752
1993-11-26,38439
1993-12-03,39234
1993-12-10,39190
1993-12-17,38534
1993-12-24,38648
1993-12-31,39379
1994-01-07,41035
1994-01-14,40571
1994-01-21,41102
1994-01-28,41331
